# -----------------------------------
# VO Data Model Summary
# -----------------------------------
Title=Spectrum Version 2.0
Name=Spectrum-2.0
Prefix=spec
URL=http://www.ivoa.net/xml/Spectrum/Spectrum-2.0.xsd
#
#
# Model Path                                                                                           & Type                     & Tag                                                                    & UCD                                           & Default                   & Unit                 & Description                              & REQ  
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame                                                     & FluxFrame                & Char.FluxAxis.CoordSys.FluxFrame                                       &                                               &                           &                      &                                          &      
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame_ID                                                  & String                   & Char.FluxAxis.CoordSys.FluxFrame.ID                                    & meta.id                                       &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame_Name                                                & String                   & Char.FluxAxis.CoordSys.FluxFrame.Name                                  &                                               &                           &                      & Name of photometric band                 & OPT  
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame_UCD                                                 & String                   & Char.FluxAxis.CoordSys.FluxFrame.UCD                                   & meta.ucd                                      & phot.mag                  &                      & UCD for photometric calibration          & OPT  
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame_refID                                               & URI                      & Char.FluxAxis.CoordSys.FluxFrame.refID                                 & meta.ref.ivorn                                &                           &                      & URI for photometric calibration          & OPT  
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame_PhotCal                                             & PhotCal                  & Char.FluxAxis.CoordSys.FluxFrame.PhotCal                               &                                               &                           &                      &                                          &      
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame_PhotCal_*                                           &                          & Char.FluxAxis.CoordSys.FluxFrame.PhotCal.*                             &                                               &                           &                      & Photometric Calibration UTypes           &      
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame_PhotCal_PhotometryFilter                            &                          & Char.FluxAxis.CoordSys.FluxFrame.PhotCal.PhotometryFilter              &                                               &                           &                      &                                          &      
  SpectralDataset_Char_FluxAxis_CoordSys_FluxFrame_PhotCal_PhotometryFilter_*                          &                          & Char.FluxAxis.CoordSys.FluxFrame.PhotCal.PhotometryFilter.*            &                                               &                           &                      & Photometry Filter UTypes                 &      
  SpectralDataset_Char_FluxAxis_QualityDefs                                                            & QualityDefs              & Char.FluxAxis.QualityDefs                                              &                                               &                           &                      &                                          &      
  SpectralDataset_Char_FluxAxis_QualityDefs_QualityCode                                                & QualityCode              & Char.FluxAxis.QualityDefs.QualityCode                                  &                                               &                           &                      &                                          &      
  SpectralDataset_Char_FluxAxis_QualityDefs_QualityCode_CodeNum                                        & Integer                  & Char.FluxAxis.QualityDefs.QualityCode.CodeNum                          &                                               &                           &                      & Quality code numeric value               & OPT  
  SpectralDataset_Char_FluxAxis_QualityDefs_QualityCode_Definition                                     & String                   & Char.FluxAxis.QualityDefs.QualityCode.Definition                       &                                               &                           &                      & Meaning of quality value                 & OPT  
  SpectralDataset_Char_SpatialAxis                                                                     & CharacterizationAxis     & Char.SpatialAxis                                                       &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_Name                                                                & String                   & Char.SpatialAxis.Name                                                  & meta.id                                       & Sky                       &                      & name for spatial axis                    & OPT  
  SpectralDataset_Char_SpatialAxis_ucd                                                                 & String                   & Char.SpatialAxis.ucd                                                   & meta.ucd                                      & pos.eq                    &                      & ucd for spatial coord                    & REC  
  SpectralDataset_Char_SpatialAxis_unit                                                                & String                   & Char.SpatialAxis.unit                                                  & meta.unit                                     & deg                       &                      & Unit for spatial coord                   & REC  
  SpectralDataset_Char_SpatialAxis_CalibrationStatus                                                   & String                   & Char.SpatialAxis.CalibrationStatus                                     & meta.code.qual                                & CALIBRATED                &                      & Type of coord calibration                & OPT  
  SpectralDataset_Char_SpatialAxis_Accuracy                                                            & Accuracy                 & Char.SpatialAxis.Accuracy                                              &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_Accuracy_StatError                                                  & Double                   & Char.SpatialAxis.Accuracy.StatError                                    & stat.error;[SpatialAxis.ucd]                  & NaN                       &                      & Astrometric statistical error            & OPT  
  SpectralDataset_Char_SpatialAxis_Accuracy_SysError                                                   & Double                   & Char.SpatialAxis.Accuracy.SysError                                     & stat.error.sys;[SpatialAxis.ucd]              & NaN                       &                      & Systematic error                         & OPT  
  SpectralDataset_Char_SpatialAxis_CoordSys                                                            & CoordSys                 & Char.SpatialAxis.CoordSys                                              &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_CoordSys_SpaceFrame                                                 & SpaceFrame               & Char.SpatialAxis.CoordSys.SpaceFrame                                   &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_CoordSys_SpaceFrame_ID                                              & String                   & Char.SpatialAxis.CoordSys.SpaceFrame.ID                                & meta.id                                       &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_Char_SpatialAxis_CoordSys_SpaceFrame_Name                                            & String                   & Char.SpatialAxis.CoordSys.SpaceFrame.Name                              & pos.frame                                     & ICRS                      &                      & Name of the spatial coord frame          & REC  
  SpectralDataset_Char_SpatialAxis_CoordSys_SpaceFrame_UCD                                             & String                   & Char.SpatialAxis.CoordSys.SpaceFrame.UCD                               & meta.ucd                                      &                           &                      & Space frame UCD                          & OPT  
  SpectralDataset_Char_SpatialAxis_CoordSys_SpaceFrame_RefPos                                          & String                   & Char.SpatialAxis.CoordSys.SpaceFrame.RefPos                            &                                               & UNKNOWN                   &                      & Origin of SpaceFrame                     & OPT  
  SpectralDataset_Char_SpatialAxis_CoordSys_SpaceFrame_Equinox                                         & Double                   & Char.SpatialAxis.CoordSys.SpaceFrame.Equinox                           & time.equinox;pos.frame                        & 2000.0                    &                      & Equinox                                  & OPT  
  SpectralDataset_Char_SpatialAxis_Coverage                                                            & Coverage                 & Char.SpatialAxis.Coverage                                              &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_Coverage_Location                                                   & Location                 & Char.SpatialAxis.Coverage.Location                                     &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_Coverage_Location_Value                                             & Double                   & Char.SpatialAxis.Coverage.Location.Value                               & [SpatialAxis.ucd]                             &                           &                      & Position                                 & MAN  
  SpectralDataset_Char_SpatialAxis_Coverage_Bounds                                                     & Bounds                   & Char.SpatialAxis.Coverage.Bounds                                       &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_Coverage_Bounds_Extent                                              & Double                   & Char.SpatialAxis.Coverage.Bounds.Extent                                & pos.angDistance;instr.fov                     &                           &                      & Aperture angular size                    & MAN  
  SpectralDataset_Char_SpatialAxis_Coverage_Support                                                    & Support                  & Char.SpatialAxis.Coverage.Support                                      &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_Coverage_Support_Area                                               & String                   & Char.SpatialAxis.Coverage.Support.Area                                 &                                               & UNKNOWN                   &                      & Aperture region                          & REC  
  SpectralDataset_Char_SpatialAxis_Coverage_Support_Extent                                             & Double                   & Char.SpatialAxis.Coverage.Support.Extent                               & pos.angDistance;instr.fov                     & NaN                       &                      & Field of view area                       & OPT  
  SpectralDataset_Char_SpatialAxis_QualityDefs                                                         & QualityDefs              & Char.SpatialAxis.QualityDefs                                           &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_QualityDefs_QualityCode                                             & QualityCode              & Char.SpatialAxis.QualityDefs.QualityCode                               &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_QualityDefs_QualityCode_CodeNum                                     & Integer                  & Char.SpatialAxis.QualityDefs.QualityCode.CodeNum                       &                                               &                           &                      & Quality code numeric value               & OPT  
  SpectralDataset_Char_SpatialAxis_QualityDefs_QualityCode_Definition                                  & String                   & Char.SpatialAxis.QualityDefs.QualityCode.Definition                    &                                               &                           &                      & Meaning of quality value                 & OPT  
  SpectralDataset_Char_SpatialAxis_Resolution                                                          & Resolution               & Char.SpatialAxis.Resolution                                            &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_Resolution_refVal                                                   & Double                   & Char.SpatialAxis.Resolution.refVal                                     & pos.angResolution                             & NaN                       &                      & Spatial resolution of data               & OPT  
  SpectralDataset_Char_SpatialAxis_SamplingPrecision                                                   & SamplingPrecision        & Char.SpatialAxis.SamplingPrecision                                     &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_SamplingPrecision_SampleExtent                                      & Double                   & Char.SpatialAxis.SamplingPrecision.SampleExtent                        & phys.angSize;instr.pixel                      &                           &                      & spatial bin size                         & OPT  
  SpectralDataset_Char_SpatialAxis_SamplingPrecision_SamplingPrecisionRefVal                           & SamplingPrecisionRefVal  & Char.SpatialAxis.SamplingPrecision.SamplingPrecisionRefVal             &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpatialAxis_SamplingPrecision_SamplingPrecisionRefVal_FillFactor                & Double                   & Char.SpatialAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor  & stat.filling;[SpatialAxis.ucd]                & 1.0                       &                      & Sampling Filling factor                  & OPT  
  SpectralDataset_Char_SpectralAxis                                                                    & CharacterizationAxis     & Char.SpectralAxis                                                      &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_Name                                                               & String                   & Char.SpectralAxis.Name                                                 &                                               & SpectralCoord             &                      & name for spectral axis                   & OPT  
  SpectralDataset_Char_SpectralAxis_ucd                                                                & String                   & Char.SpectralAxis.ucd                                                  & meta.ucd                                      &                           &                      & ucd for spectral coord                   & REC  
  SpectralDataset_Char_SpectralAxis_unit                                                               & String                   & Char.SpectralAxis.unit                                                 & meta.unit                                     &                           &                      & Unit for spectral coord                  & REC  
  SpectralDataset_Char_SpectralAxis_CalibrationStatus                                                  & String                   & Char.SpectralAxis.CalibrationStatus                                    & meta.code.qual                                & CALIBRATED                &                      & Type of coord calibration                & OPT  
  SpectralDataset_Char_SpectralAxis_Accuracy                                                           & Accuracy                 & Char.SpectralAxis.Accuracy                                             &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_Accuracy_BinSize                                                   & Double                   & Char.SpectralAxis.Accuracy.BinSize                                     & [SpectralAxis.ucd];spect.binSize              & NaN                       &                      & Wavelength bin size                      & OPT  
  SpectralDataset_Char_SpectralAxis_Accuracy_StatError                                                 & Double                   & Char.SpectralAxis.Accuracy.StatError                                   & stat.error;[SpectralAxis.ucd]                 & 0.0                       &                      & Spectral coord measurement error         & REC  
  SpectralDataset_Char_SpectralAxis_Accuracy_SysError                                                  & Double                   & Char.SpectralAxis.Accuracy.SysError                                    & stat.error.sys;[SpectralAxis.ucd]             & 0.0                       &                      & Spectral coord measurement error         & REC  
  SpectralDataset_Char_SpectralAxis_CoordSys                                                           & CoordSys                 & Char.SpectralAxis.CoordSys                                             &                                               &                           &                      & Axis coordinate system                   & OPT  
  SpectralDataset_Char_SpectralAxis_CoordSys_SpectralFrame                                             & SpectralFrame            & Char.SpectralAxis.CoordSys.SpectralFrame                               &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_CoordSys_SpectralFrame_ID                                          & String                   & Char.SpectralAxis.CoordSys.SpectralFrame.ID                            & meta.id                                       &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_Char_SpectralAxis_CoordSys_SpectralFrame_Name                                        & String                   & Char.SpectralAxis.CoordSys.SpectralFrame.Name                          &                                               &                           &                      & Spectral frame name                      & OPT  
  SpectralDataset_Char_SpectralAxis_CoordSys_SpectralFrame_UCD                                         & String                   & Char.SpectralAxis.CoordSys.SpectralFrame.UCD                           & meta.ucd                                      &                           &                      & Spectral frame UCD                       & OPT  
  SpectralDataset_Char_SpectralAxis_CoordSys_SpectralFrame_RefPos                                      & String                   & Char.SpectralAxis.CoordSys.SpectralFrame.RefPos                        & sdm:spect.frame                               & TOPOCENTER                &                      & Spectral frame origin                    & OPT  
  SpectralDataset_Char_SpectralAxis_CoordSys_SpectralFrame_Redshift                                    & Double                   & Char.SpectralAxis.CoordSys.SpectralFrame.Redshift                      &                                               & 0.0                       &                      & Spectral frame shift                     & OPT  
  SpectralDataset_Char_SpectralAxis_Coverage                                                           & Coverage                 & Char.SpectralAxis.Coverage                                             &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_Coverage_Location                                                  & Location                 & Char.SpectralAxis.Coverage.Location                                    &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_Coverage_Location_Value                                            & Double                   & Char.SpectralAxis.Coverage.Location.Value                              & [SpectralAxis.ucd];instr.bandpass             &                           &                      & Spectral coord value                     & MAN  
  SpectralDataset_Char_SpectralAxis_Coverage_Bounds                                                    & Bounds                   & Char.SpectralAxis.Coverage.Bounds                                      &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_Coverage_Bounds_Extent                                             & Double                   & Char.SpectralAxis.Coverage.Bounds.Extent                               & instr.bandwidth                               &                           &                      & Width in spectral coordinate             & MAN  
  SpectralDataset_Char_SpectralAxis_Coverage_Bounds_Start                                              & Double                   & Char.SpectralAxis.Coverage.Bounds.Start                                & [SpectralAxis.ucd];stat.min                   &                           &                      & Start in spectral coordinate             & MAN  
  SpectralDataset_Char_SpectralAxis_Coverage_Bounds_Stop                                               & Double                   & Char.SpectralAxis.Coverage.Bounds.Stop                                 & [SpectralAxis.ucd];stat.max                   &                           &                      & Stop in spectral coordinate              & MAN  
  SpectralDataset_Char_SpectralAxis_Coverage_Support                                                   & Support                  & Char.SpectralAxis.Coverage.Support                                     &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_Coverage_Support_Extent                                            & Double                   & Char.SpectralAxis.Coverage.Support.Extent                              & instr.bandwidth                               &                           &                      & Effective width of spectrum              & OPT  
  SpectralDataset_Char_SpectralAxis_QualityDefs                                                        & QualityDefs              & Char.SpectralAxis.QualityDefs                                          &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_QualityDefs_QualityCode                                            & QualityCode              & Char.SpectralAxis.QualityDefs.QualityCode                              &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_QualityDefs_QualityCode_CodeNum                                    & Integer                  & Char.SpectralAxis.QualityDefs.QualityCode.CodeNum                      &                                               &                           &                      & Quality code numeric value               & OPT  
  SpectralDataset_Char_SpectralAxis_QualityDefs_QualityCode_Definition                                 & String                   & Char.SpectralAxis.QualityDefs.QualityCode.Definition                   &                                               &                           &                      & Meaning of quality value                 & OPT  
  SpectralDataset_Char_SpectralAxis_Resolution                                                         & SpectralResolution       & Char.SpectralAxis.Resolution                                           &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_Resolution_refVal                                                  & Double                   & Char.SpectralAxis.Resolution.refVal                                    & spect.resolution;[SpectralAxis.ucd]           &                           &                      & Spectral resolution FWHM                 & OPT  
  SpectralDataset_Char_SpectralAxis_ResolPower                                                         & ResolPower               & Char.SpectralAxis.ResolPower                                           &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_ResolPower_refVal                                                  & Double                   & Char.SpectralAxis.ResolPower.refVal                                    & spect.resolution                              & NaN                       &                      & Spectral resolving power                 & OPT  
  SpectralDataset_Char_SpectralAxis_SamplingPrecision                                                  & SamplingPrecision        & Char.SpectralAxis.SamplingPrecision                                    &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_SamplingPrecision_SampleExtent                                     & Double                   & Char.SpectralAxis.SamplingPrecision.SampleExtent                       & [SpectralAxis.ucd];spect.binSize              &                           &                      & Wavelength bin size                      & OPT  
  SpectralDataset_Char_SpectralAxis_SamplingPrecision_SamplingPrecisionRefVal                          & SamplingPrecisionRefVal  & Char.SpectralAxis.SamplingPrecision.SamplingPrecisionRefVal            &                                               &                           &                      &                                          &      
  SpectralDataset_Char_SpectralAxis_SamplingPrecision_SamplingPrecisionRefVal_FillFactor               & Double                   & Char.SpectralAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor & stat.filling;[SpectralAxis.ucd]               & 1.0                       &                      & Sampling Filling factor                  & OPT  
  SpectralDataset_Char_TimeAxis                                                                        & CharacterizationAxis     & Char.TimeAxis                                                          &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_Name                                                                   & String                   & Char.TimeAxis.Name                                                     &                                               & Time                      &                      & name for time axis                       & OPT  
  SpectralDataset_Char_TimeAxis_ucd                                                                    & String                   & Char.TimeAxis.ucd                                                      & meta.ucd                                      & time                      &                      & ucd for time                             & REC  
  SpectralDataset_Char_TimeAxis_unit                                                                   & String                   & Char.TimeAxis.unit                                                     & meta.unit                                     & d                         &                      & Unit for time                            & REC  
  SpectralDataset_Char_TimeAxis_CalibrationStatus                                                      & String                   & Char.TimeAxis.CalibrationStatus                                        & meta.code.qual                                & CALIBRATED                &                      & Type of coord calibration                & OPT  
  SpectralDataset_Char_TimeAxis_Accuracy                                                               & Accuracy                 & Char.TimeAxis.Accuracy                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_Accuracy_BinSize                                                       & Double                   & Char.TimeAxis.Accuracy.BinSize                                         & time.interval                                 & NaN                       &                      & Time bin size                            & OPT  
  SpectralDataset_Char_TimeAxis_Accuracy_StatError                                                     & Double                   & Char.TimeAxis.Accuracy.StatError                                       & stat.error;[TimeAxis.ucd]                     & NaN                       &                      & Time coord measurement statistical error & OPT  
  SpectralDataset_Char_TimeAxis_Accuracy_SysError                                                      & Double                   & Char.TimeAxis.Accuracy.SysError                                        & stat.error.sys;[TimeAxis.ucd]                 & NaN                       &                      & Time coord measurement systematic error  & OPT  
  SpectralDataset_Char_TimeAxis_CoordSys                                                               & CoordSys                 & Char.TimeAxis.CoordSys                                                 &                                               &                           &                      & Axis coordinate system                   & OPT  
  SpectralDataset_Char_TimeAxis_CoordSys_TimeFrame                                                     & TimeFrame                & Char.TimeAxis.CoordSys.TimeFrame                                       &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_CoordSys_TimeFrame_ID                                                  & String                   & Char.TimeAxis.CoordSys.TimeFrame.ID                                    & meta.id                                       &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_Char_TimeAxis_CoordSys_TimeFrame_Name                                                & String                   & Char.TimeAxis.CoordSys.TimeFrame.Name                                  & sdm:time.frame                                & TT                        &                      & Timescale                                & OPT  
  SpectralDataset_Char_TimeAxis_CoordSys_TimeFrame_UCD                                                 & String                   & Char.TimeAxis.CoordSys.TimeFrame.UCD                                   & meta.ucd                                      &                           &                      & Time frame UCD                           & OPT  
  SpectralDataset_Char_TimeAxis_CoordSys_TimeFrame_RefPos                                              & String                   & Char.TimeAxis.CoordSys.TimeFrame.RefPos                                & time.scale                                    & TOPOCENTER                &                      & Time frame origin                        & OPT  
  SpectralDataset_Char_TimeAxis_CoordSys_TimeFrame_Zero                                                & Double                   & Char.TimeAxis.CoordSys.TimeFrame.Zero                                  & arith.zp;time                                 & 0.0                       &                      & Zero point of timescale in MJD           & OPT  
  SpectralDataset_Char_TimeAxis_Coverage                                                               & Coverage                 & Char.TimeAxis.Coverage                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_Coverage_Location                                                      & Location                 & Char.TimeAxis.Coverage.Location                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_Coverage_Location_Value                                                & Double                   & Char.TimeAxis.Coverage.Location.Value                                  & time.epoch;obs                                &                           &                      & Exposure midpoint                        & MAN  
  SpectralDataset_Char_TimeAxis_Coverage_Bounds                                                        & Bounds                   & Char.TimeAxis.Coverage.Bounds                                          &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_Coverage_Bounds_Extent                                                 & Double                   & Char.TimeAxis.Coverage.Bounds.Extent                                   & time.duration;obs.exposure                    &                           &                      & Total elapsed time                       & MAN  
  SpectralDataset_Char_TimeAxis_Coverage_Bounds_Start                                                  & Double                   & Char.TimeAxis.Coverage.Bounds.Start                                    & time.start;obs.exposure                       & NaN                       &                      & Start time                               & REC  
  SpectralDataset_Char_TimeAxis_Coverage_Bounds_Stop                                                   & Double                   & Char.TimeAxis.Coverage.Bounds.Stop                                     & time.end;obs.exposure                         & NaN                       &                      & Stop time                                & REC  
  SpectralDataset_Char_TimeAxis_Coverage_Support                                                       & Support                  & Char.TimeAxis.Coverage.Support                                         &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_Coverage_Support_Extent                                                & Double                   & Char.TimeAxis.Coverage.Support.Extent                                  & time.duration;obs.exposure                    & NaN                       &                      & Effective exposure time                  & OPT  
  SpectralDataset_Char_TimeAxis_QualityDefs                                                            & QualityDefs              & Char.TimeAxis.QualityDefs                                              &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_QualityDefs_QualityCode                                                & QualityCode              & Char.TimeAxis.QualityDefs.QualityCode                                  &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_QualityDefs_QualityCode_CodeNum                                        & Integer                  & Char.TimeAxis.QualityDefs.QualityCode.CodeNum                          &                                               &                           &                      & Quality code numeric value               & OPT  
  SpectralDataset_Char_TimeAxis_QualityDefs_QualityCode_Definition                                     & String                   & Char.TimeAxis.QualityDefs.QualityCode.Definition                       &                                               &                           &                      & Meaning of quality value                 & OPT  
  SpectralDataset_Char_TimeAxis_Resolution                                                             & Resolution               & Char.TimeAxis.Resolution                                               &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_Resolution_refVal                                                      & Double                   & Char.TimeAxis.Resolution.refVal                                        & time.resolution                               &                           &                      & Temporal resolution FWHM                 & OPT  
  SpectralDataset_Char_TimeAxis_SamplingPrecision                                                      & SamplingPrecision        & Char.TimeAxis.SamplingPrecision                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_SamplingPrecision_SampleExtent                                         & Double                   & Char.TimeAxis.SamplingPrecision.SampleExtent                           & time.interval                                 &                           &                      & time bin size                            & OPT  
  SpectralDataset_Char_TimeAxis_SamplingPrecision_SamplingPrecisionRefVal                              & SamplingPrecisionRefVal  & Char.TimeAxis.SamplingPrecision.SamplingPrecisionRefVal                &                                               &                           &                      &                                          &      
  SpectralDataset_Char_TimeAxis_SamplingPrecision_SamplingPrecisionRefVal_FillFactor                   & Double                   & Char.TimeAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor     & stat.filling;time                             & NaN                       &                      & Sampling Filling factor                  & OPT  
  SpectralDataset_CoordSys                                                                             & CoordSys                 & CoordSys                                                               &                                               &                           &                      &                                          &      
  SpectralDataset_CoordSys_ID                                                                          & String                   & CoordSys.ID                                                            & meta.id                                       &                           &                      & ID string for coordinate system          & OPT  
  SpectralDataset_CoordSys_CoordFrame                                                                  & CoordFrame               & CoordSys.CoordFrame                                                    &                                               &                           &                      &                                          &      
  SpectralDataset_CoordSys_CoordFrame_ID                                                               & String                   & CoordSys.CoordFrame.ID                                                 & meta.id                                       &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_CoordSys_CoordFrame_Name                                                             & String                   & CoordSys.CoordFrame.Name                                               &                                               &                           &                      & Name of coordinate frame                 & OPT  
  SpectralDataset_CoordSys_CoordFrame_UCD                                                              & String                   & CoordSys.CoordFrame.UCD                                                & meta.ucd                                      &                           &                      & UCD                                      & OPT  
  SpectralDataset_CoordSys_CoordFrame_RefPos                                                           & String                   & CoordSys.CoordFrame.RefPos                                             &                                               &                           &                      & Frame origin                             & OPT  
  SpectralDataset_CoordSys_FluxFrame                                                                   & FluxFrame                & CoordSys.FluxFrame                                                     &                                               &                           &                      &                                          &      
  SpectralDataset_CoordSys_FluxFrame_ID                                                                & String                   & CoordSys.FluxFrame.ID                                                  & meta.id                                       &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_CoordSys_FluxFrame_Name                                                              & String                   & CoordSys.FluxFrame.Name                                                &                                               &                           &                      & Name of photometric band                 & OPT  
  SpectralDataset_CoordSys_FluxFrame_UCD                                                               & String                   & CoordSys.FluxFrame.UCD                                                 & meta.ucd                                      & phot.mag                  &                      & UCD for photometric calibration          & OPT  
  SpectralDataset_CoordSys_FluxFrame_refID                                                             & URI                      & CoordSys.FluxFrame.refID                                               & meta.ref.ivorn                                &                           &                      & URI for photometric calibration          & OPT  
  SpectralDataset_CoordSys_FluxFrame_PhotCal                                                           & PhotCal                  & CoordSys.FluxFrame.PhotCal                                             &                                               &                           &                      &                                          &      
  SpectralDataset_CoordSys_FluxFrame_PhotCal_*                                                         &                          & CoordSys.FluxFrame.PhotCal.*                                           &                                               &                           &                      & Photometric Calibration UTypes           &      
  SpectralDataset_CoordSys_FluxFrame_PhotCal_PhotometryFilter                                          &                          & CoordSys.FluxFrame.PhotCal.PhotometryFilter                            &                                               &                           &                      &                                          &      
  SpectralDataset_CoordSys_FluxFrame_PhotCal_PhotometryFilter_*                                        &                          & CoordSys.FluxFrame.PhotCal.PhotometryFilter.*                          &                                               &                           &                      & Photometry Filter UTypes                 &      
  SpectralDataset_CoordSys_RedshiftFrame                                                               & RedshiftFrame            & CoordSys.RedshiftFrame                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_CoordSys_RedshiftFrame_ID                                                            & String                   & CoordSys.RedshiftFrame.ID                                              & meta.id                                       &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_CoordSys_RedshiftFrame_Name                                                          & String                   & CoordSys.RedshiftFrame.Name                                            &                                               &                           &                      & Redshift frame name                      & OPT  
  SpectralDataset_CoordSys_RedshiftFrame_UCD                                                           & String                   & CoordSys.RedshiftFrame.UCD                                             & meta.ucd                                      &                           &                      & Redshift frame UCD                       & OPT  
